cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,sum_in_external,sum_out_external,seed_share_internal,back_share,star_share,hub,n_internal_edges,tx_per_link,n_in_cycle3,n_truncated,max_priority,mean_priority,stability,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_peripheral,cluster_type,hypothesis_strength,hypothesis
68,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,56520.0,0.0,0.0,0.0,1.0,100000001052945100,3,2.0,0,3,0.2538,0.1172,0.817,0,0,0,0,0,4,periphery,слабая,"Гипотеза: группа вокруг узла 100000001052945100 (периферия): 4 узла, оборот 1.6 млн, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
69,4,0,832800.0,100000003159641100;100000008625905100;100000001065234100;100000002194320100,64000.0,0.0,0.0,0.0,1.0,100000008625905100,3,1.0,0,2,0.3561,0.2508,0.818,0,0,0,0,0,4,periphery,слабая,"Гипотеза: группа вокруг узла 100000008625905100 (периферия): 4 узла, оборот 833 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
70,4,1,79050.0,100000003148220100;100000006888238100;100000004971871100;100000001852140100,0.0,0.0,0.071,0.321,0.75,100000003148220100,4,1.5,0,0,0.3067,0.2376,1.0,0,0,0,0,0,4,seed_periphery,слабая,"Гипотеза: окружение seed 100000003148220100: 4 узла, преимущественно разовые переводы (в среднем 1.5 перевода на связь), оборот 79 тыс"
71,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,9500.0,0.0,0.0,0.0,1.0,100000002513028100,3,8.0,0,3,0.2652,0.1397,1.0,0,0,0,0,0,4,periphery,слабая,"Гипотеза: группа вокруг узла 100000002513028100 (периферия): 4 узла, оборот 333 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
72,4,2,1499679.0,100000008418835100;100000008730021100;100000008701944100;100000004269433100,0.0,58500.0,1.0,0.915,1.0,100000008418835100,3,23.67,0,0,0.5197,0.3242,1.0,0,0,0,1,0,3,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000008418835100: получил 1.4 млн, отправил 186 тыс, seed в группе: 2; 92% оборота идёт назад по коленам — возможны возвратные потоки; 100% внутреннего оборота исходит от seed"
73,4,0,377500.0,100000005514161100;100000005316708100;100000004424023100;100000008332511100,264000.0,30000.0,0.0,0.603,0.667,100000005514161100,3,1.67,0,0,0.4914,0.3701,0.816,0,0,0,0,1,3,periphery,слабая,"Гипотеза: группа вокруг узла 100000005514161100 (периферия): 4 узла, оборот 378 тыс, выраженных ролей нет; 60% оборота идёт назад по коленам — возможны возвратные потоки"
74,3,0,556700.0,100000000661912100;100000003131016100;100000003246024100,267036.0,5000.0,0.0,0.226,1.0,100000000661912100,3,4.0,0,0,0.5929,0.3933,0.802,0,0,0,1,0,2,fragment,слабая,Гипотеза: малый фрагмент (3 узла): основной перевод 100000000661912100 → 100000003131016100 на 406 тыс
75,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,0.0,0.0,0.444,0.0,1.0,100000002371751100,2,3.0,0,0,0.5692,0.3698,1.0,0,0,0,1,1,1,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000002371751100 → 100000000769919100 на 250 тыс, seed в группе: 1"
76,3,0,120000.0,100000003221510100;100000001733216100;100000002505277100,24000.0,0.0,0.0,0.0,1.0,100000003221510100,2,1.5,0,2,0.1975,0.1186,0.411,0,0,0,0,0,3,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000003221510100 → 100000001733216100 на 60 тыс; больше половины узлов обрезаны последним коленом, картина неполная"
77,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,24000.0,0.0,0.0,0.0,1.0,100000003321895100,2,1.5,0,2,0.2945,0.1967,1.0,0,0,0,0,0,3,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000003321895100 → 100000003692843100 на 510 тыс; больше половины узлов обрезаны последним коленом, картина неполная"
78,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,0.0,13420.0,0.372,0.118,1.0,100000002781227100,3,5.33,0,0,0.6105,0.3665,1.0,0,0,0,1,0,2,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000002781227100 → 100000002796853100 на 199 тыс, seed в группе: 1"
79,3,0,1557988.0,100000008258458100;100000004035925100;100000008619159100,19000.0,0.0,0.0,0.0,1.0,100000008258458100,2,2.0,0,2,0.2719,0.1938,1.0,0,0,0,0,0,3,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000008258458100 → 100000004035925100 на 1.1 млн; больше половины узлов обрезаны последним коленом, картина неполная"
80,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,0.0,0.0,1.0,0.0,1.0,100000004388983100,2,11.5,0,0,0.3994,0.3166,1.0,0,0,0,0,2,1,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000004388983100 → 100000005034574100 на 259 тыс, seed в группе: 1; 100% внутреннего оборота исходит от seed"
81,3,0,627870.0,100000008628231100;100000004666651100;100000005664632100,50000.0,0.0,0.0,0.0,1.0,100000008628231100,2,9.5,0,0,0.4042,0.3206,1.0,0,0,0,0,2,1,fragment,слабая,Гипотеза: малый фрагмент (3 узла): основной перевод 100000008628231100 → 100000004666651100 на 429 тыс
82,3,0,15000.0,100000005268319100;100000004850609100;100000005370558100,19712.8,76000.0,0.0,0.0,1.0,100000005268319100,2,1.0,0,2,0.1975,0.0819,0.406,0,0,0,0,0,3,fragment,слабая,"Гипотеза: малый фрагмент (3 узла): основной перевод 100000005268319100 → 100000004850609100 на 10 тыс; больше половины узлов обрезаны последним коленом, картина неполная"
83,2,0,761255.0,100000000583220100;100000004586598100,5000.0,0.0,0.0,0.0,1.0,100000000583220100,1,4.0,0,1,0.2215,0.1817,1.0,0,0,0,0,0,2,fragment,слабая,"Гипотеза: малый фрагмент (2 узла): основной перевод 100000000583220100 → 100000004586598100 на 761 тыс; больше половины узлов обрезаны последним коленом, картина неполная"
84,2,1,30000.0,100000003980083100;100000003200071100,0.0,0.0,1.0,0.0,1.0,100000003200071100,1,1.0,0,0,0.2607,0.1866,1.0,0,0,0,0,0,2,fragment,слабая,"Гипотеза: малый фрагмент (2 узла): основной перевод 100000003200071100 → 100000003980083100 на 30 тыс, seed в группе: 1; 100% внутреннего оборота исходит от seed"
85,2,1,81465.0,100000003865939100;100000005392290100,0.0,0.0,1.0,0.0,1.0,100000003865939100,1,1.0,0,0,0.3044,0.2184,1.0,0,0,0,0,0,2,fragment,слабая,"Гипотеза: малый фрагмент (2 узла): основной перевод 100000005392290100 → 100000003865939100 на 81 тыс, seed в группе: 1; 100% внутреннего оборота исходит от seed"
86,2,2,10000.0,100000005493505100;100000005543136100,52020.0,0.0,1.0,1.0,1.0,100000005493505100,1,1.0,0,0,0.2988,0.2093,0.803,0,0,0,0,0,2,fragment,слабая,"Гипотеза: малый фрагмент (2 узла): основной перевод 100000005543136100 → 100000005493505100 на 10 тыс, seed в группе: 2; 100% внутреннего оборота исходит от seed"
87,2,0,24750.0,100000008636603100;100000006122699100,56575.0,134625.0,0.0,1.0,1.0,100000006122699100,1,1.0,1,0,0.5555,0.4184,1.0,0,0,0,0,0,2,fragment,слабая,Гипотеза: малый фрагмент (2 узла): основной перевод 100000008636603100 → 100000006122699100 на 25 тыс
88,2,0,584900.0,100000008430691100;100000007330432100,20000.0,20000.0,0.0,0.0,1.0,100000007330432100,1,1.0,0,1,0.2916,0.2441,0.802,0,0,0,0,0,2,fragment,слабая,"Гипотеза: малый фрагмент (2 узла): основной перевод 100000008430691100 → 100000007330432100 на 585 тыс; больше половины узлов обрезаны последним коленом, картина неполная"
89,2,0,857500.0,100000008324800100;100000007390016100,180000.0,0.0,0.0,0.404,1.0,100000007390016100,2,13.5,0,0,0.5327,0.4161,1.0,0,0,0,1,0,1,fragment,слабая,Гипотеза: малый фрагмент (2 узла): основной перевод 100000008324800100 → 100000007390016100 на 511 тыс; связь ключевого узла с seed-деньгами слабая
